Source,Target,Weight
马吕斯,马白夫,37
马吕斯,罗伯斯庇尔,13
马吕斯,亨利四世,17
马吕斯,赖格尔,10
马吕斯,博须埃,10
马吕斯,公白飞,16
马吕斯,安灼拉,30
马吕斯,德纳第,322
马吕斯,玉秀儿,42
马吕斯,沙威,25
马吕斯,爱潘妮,40
马吕斯,珂赛特,700
马吕斯,冉阿让,327
马吕斯,杜桑,37
冉阿让,芳汀,47
冉阿让,珂赛特,541
冉阿让,布莱卫,63
冉阿让,沙威,242
冉阿让,德纳第,73
冉阿让,杜桑,41
冉阿让,马吕斯,327
芳汀,冉阿让,47
芳汀,珂赛特,54
芳汀,多罗米埃,33
芳汀,沙威,37
珂赛特,冉阿让,541
珂赛特,芳汀,54
珂赛特,德纳第,157
珂赛特,沙威,33
珂赛特,爱潘妮,31
珂赛特,杜桑,59
珂赛特,马吕斯,700
珂赛特,亨利四世,10
马白夫,安灼拉,11
马白夫,马吕斯,37
安灼拉,马白夫,11
安灼拉,公白飞,83
安灼拉,弗以伊,17
安灼拉,巴阿雷,13
安灼拉,格朗泰尔,41
安灼拉,马吕斯,30
安灼拉,博须埃,22
安灼拉,科林斯,11
格朗泰尔,安灼拉,41
格朗泰尔,博须埃,17
伏尔泰,耶稣,10
耶稣,伏尔泰,10
罗伯斯庇尔,马吕斯,13
罗伯斯庇尔,公白飞,11
博须埃,马吕斯,10
博须埃,格朗泰尔,17
博须埃,公白飞,13
博须埃,弗以伊,11
博须埃,安灼拉,22
布莱卫,冉阿让,63
亨利四世,马吕斯,17
亨利四世,珂赛特,10
多罗米埃,芳汀,33
科林斯,安灼拉,11
德纳第,爱潘妮,20
德纳第,阿兹玛,12
德纳第,珂赛特,157
德纳第,沙威,30
德纳第,冉阿让,73
德纳第,马吕斯,322
德纳第,玉秀儿,22
德纳第,马侬,22
德纳第,普吕戎,10
爱潘妮,德纳第,20
爱潘妮,阿兹玛,14
爱潘妮,珂赛特,31
爱潘妮,马吕斯,40
阿兹玛,德纳第,12
阿兹玛,爱潘妮,14
沙威,芳汀,37
沙威,珂赛特,33
沙威,德纳第,30
沙威,冉阿让,242
沙威,马吕斯,25
公白飞,安灼拉,83
公白飞,弗以伊,13
公白飞,巴阿雷,13
公白飞,罗伯斯庇尔,11
公白飞,马吕斯,16
公白飞,博须埃,13
弗以伊,安灼拉,17
弗以伊,公白飞,13
弗以伊,巴阿雷,10
弗以伊,博须埃,11
巴阿雷,安灼拉,13
巴阿雷,公白飞,13
巴阿雷,弗以伊,10
赖格尔,马吕斯,10
玉秀儿,马吕斯,42
玉秀儿,德纳第,22
普吕戎,德纳第,10
马侬,德纳第,22
杜桑,冉阿让,41
杜桑,珂赛特,59
杜桑,马吕斯,37
